name
1819
ANDERSSON
Aaby-Ericsson
Aarnseth
Aastrup
Abdirahman
Abdu
Abele
Abelin
Abenius
Abrahamsson
Abramsson
Acketoft
Adaktusson
Adamsson
Adan
Adelsbo
Adelsköld
Adelsohn
Adelsohn-Liljeroth
Adelson-Liljeroth
Adelsvärd
Adelswärd
Adler
Adlercreutz
Adlersparre
Adolfsson
Afzelius
Agardh
Agardsson
Agenberg
Ager
Agerberg
Agestav
Aglert
Ahl
Ahlberg
Ahlesten
Ahlfvengren
Ahlgren
Ahlin
Ahlinder
Ahlkvist
Ahlmark
Ahlquist
Ahlqvist
Ahlstedt
Ahlsten
Ahlstrand
Ahlström
Ahrenberg
Ahrland
Akej
Akhondi
Al-Sahlani
Albertsson
Aldercreutz
Aldén
Alemyr
Alexanderson
Alexandersson
Alfsson
Alftberg
Alftin
Ali
Alin
Alkemark
Alkman
Alkvist
Allard
Allgullander
Allmér
Alm
Alm-Lindström
Almen
Almer
Almgren
Almkvist
Almquist
Almqvist
Almryd
Almström
Almén
Alsterlund
Alströmer
Alsén
Alterå
Althin
Altin
Alvin
Alvén
Amdersson
Amholm
Amilon
Amin
Amloh
Amnéus
Amundson
Ander
Anderberg
Anderlund
Anderson
Andersson
Andersson-Tay
Andnor
Andrae
Andreason
Andreasson
Andræ
André
Andréasson
Andrée
Andrén
Anefur
Angel
Anger
Angur
Anjou
Anners
Annerstedt
Annerås
Annér
Anstrell
Antby
Antoni
Antonsson
Anér
Apelqvist
Apelstam
Appelberg
Appelros
Appeltofft
Aranda
Arfwedson
Arhusiander
Arkelsten
Arkhem
Arleklo
Arnemark
Arnesson
Arnholm
Arnold
Arnoldson
Arnoldsson
Aronson
Aronsson
Arrhenius
Arrhén
Artin
Arvedson
Arvidson
Arvidsson
Arweson
Arwidsson
Ask
Asker
Asklöf
Asp
Aspeboda
Aspelin
Aspling
Asplund
Assarsson
Astudillo
Ataseven
Attefall
Attefjord
Attefors
Augustsson
Aulin
Aurelius
Avci
Avenborg
Avsan
Awad
Axell
Axelson
Axelsson
Axén
Aydin
Ayoub
B
BOO
Baastad
Baaz
Back
Backberger
Backeskog
Backlund
Backman
Baeckman
Bager
Bagge
Bahr
Baksi
Bali
Baptista
Barenfeld
